time,open,high,low,close,volume
2020-12-15 20:00:00,125.87,125.87,125.87,125.87,1000
2020-12-15 19:15:00,125.95,125.95,125.92,125.92,1591
2020-12-15 18:30:00,125.99,125.99,125.99,125.99,250
2020-12-15 17:45:00,125.98,125.98,125.68,125.98,2494
2020-12-15 17:00:00,125.93,125.98,125.93,125.98,4250
2020-12-15 16:45:00,125.93,125.93,125.89,125.89,622
2020-12-15 16:30:00,125.98,125.98,125.91,125.91,3190
2020-12-15 16:15:00,125.93,125.99,125.7,125.93,122754
2020-12-15 16:00:00,125.6589,125.93,125.51,125.93,394087
2020-12-15 15:45:00,125.535,125.75,125.535,125.66,174095
2020-12-15 15:30:00,125.78,125.87,125.52,125.54,161684
2020-12-15 15:15:00,125.515,125.8,125.505,125.78,156781
2020-12-15 15:00:00,125.71,125.75,125.5,125.52,101483
2020-12-15 14:45:00,125.54,125.73,125.5,125.7,127662
2020-12-15 14:30:00,125.67,125.72,125.51,125.52,97505
2020-12-15 14:15:00,125.5,125.71,125.435,125.6599,124264
2020-12-15 14:00:00,125.32,125.57,125.31,125.49,144143
2020-12-15 13:45:00,125.3,125.416,125.2945,125.3278,110093
2020-12-15 13:30:00,125.365,125.4572,125.24,125.27,136677
2020-12-15 13:15:00,125.21,125.41,125.12,125.35,94740
2020-12-15 13:00:00,124.81,125.19,124.79,125.19,127414
2020-12-15 12:45:00,124.63,124.82,124.57,124.8,66970
2020-12-15 12:30:00,124.5501,124.67,124.38,124.6432,59197
2020-12-15 12:15:00,124.4,124.6,124.3296,124.55,84637
2020-12-15 12:00:00,124.4018,124.5,124.27,124.41,63140
2020-12-15 11:45:00,124.19,124.41,124.1053,124.41,74130
2020-12-15 11:30:00,124.32,124.325,124.1,124.2,75663
2020-12-15 11:15:00,123.98,124.34,123.8,124.34,117011
2020-12-15 11:00:00,123.6,124.01,123.6,123.99,63044
2020-12-15 10:45:00,123.71,123.78,123.44,123.59,106505
2020-12-15 10:30:00,123.96,124.1922,123.7,123.73,132898
2020-12-15 10:15:00,123.78,124.1,123.62,123.99,97180
2020-12-15 10:00:00,124.35,124.35,123.68,123.76,98149
